itemLabel,date_of_birth,date_of_death
Pier Paolo Pasolini,1922-03-05T00:00:00Z,1975-11-02T00:00:00Z
Hermann Hesse,1877-07-02T00:00:00Z,1962-08-09T00:00:00Z
John Argyropoulos,1415-01-01T00:00:00Z,1487-07-05T00:00:00Z
Paul Deussen,1845-01-07T00:00:00Z,1919-07-06T00:00:00Z
Mikhail Bakunin,1814-05-30T00:00:00Z,1876-07-01T00:00:00Z
Friedrich Paulsen,1846-07-16T00:00:00Z,1908-08-14T00:00:00Z
Alfred of Sareshel,1175-01-01T00:00:00Z,1245-01-01T00:00:00Z
Luce Irigaray,1930-05-03T00:00:00Z,
Han Fei Zi,-278-01-01T00:00:00Z,-231-01-01T00:00:00Z
Kanada,,
Hervaeus Natalis,1260-01-01T00:00:00Z,1323-01-01T00:00:00Z
Abraham bar Hiyya,1070-01-01T00:00:00Z,1136-01-01T00:00:00Z
Abraham bar Hiyya,1070-01-01T00:00:00Z,1145-01-01T00:00:00Z
Huang Zongxi,1610-09-24T00:00:00Z,1695-08-12T00:00:00Z
Fan Zhen,0450-01-01T00:00:00Z,0515-01-01T00:00:00Z
Arrian,0089-01-01T00:00:00Z,0175-01-01T00:00:00Z
Ralph Barton Perry,1876-07-03T00:00:00Z,1957-01-22T00:00:00Z
Leon Trotsky,1879-11-07T00:00:00Z,1940-08-21T00:00:00Z
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z
Julian the Apostate,0331-11-07T00:00:00Z,0363-06-27T00:00:00Z
Chilon of Sparta,-599-01-01T00:00:00Z,-519-01-01T00:00:00Z
Gotthold Ephraim Lessing,1729-01-22T00:00:00Z,1781-02-15T00:00:00Z
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z
Ptolemy,0100-01-01T00:00:00Z,0160-01-01T00:00:00Z
Baruch Spinoza,1632-11-24T00:00:00Z,1677-02-21T00:00:00Z
Omar Khayyám,1048-05-24T00:00:00Z,1131-12-11T00:00:00Z
Thales,-622-01-01T00:00:00Z,-545-01-01T00:00:00Z
Giordano Bruno,1548-01-01T00:00:00Z,1600-02-17T00:00:00Z
Sun Tzu,-542-01-01T00:00:00Z,-494-01-01T00:00:00Z
David Hume,1711-05-07T00:00:00Z,1777-08-25T00:00:00Z
